DC,first_harmonic_amplitude,first_harmonic_frequency,first_harmonic_phase,modulation_ratio
0.0,0.0,0.0014492754125967622,1.5707963705062866,
0.16286230087280273,0.25276726484298706,0.004347825888544321,-0.968194842338562,1.5520305633544922
0.15199273824691772,0.23626680672168732,0.004347825888544321,-1.1292301416397095,1.554461121559143
0.0,0.0,0.0014492754125967622,1.5707963705062866,
0.0,0.0,0.0014492754125967622,1.5707963705062866,
0.17355069518089294,0.2653775215148926,0.004347825888544321,-0.9298301935195923,1.529106616973877
0.0,0.0,0.0014492754125967622,1.5707963705062866,
0.0,0.0,0.0014492754125967622,1.5707963705062866,
0.36109310388565063,0.42683613300323486,0.008695651777088642,3.833522319793701,1.1820666790008545
0.35406747460365295,0.4845849871635437,0.004347825888544321,3.554617404937744,1.3686232566833496
0.14667731523513794,0.2317781150341034,0.004347825888544321,2.912438154220581,1.580190658569336
0.0,0.0,0.0014492754125967622,1.5707963705062866,
0.03372200205922127,0.027629738673567772,0.017391303554177284,0.6323357820510864,0.8193386197090149
0.19583334028720856,0.29594796895980835,0.004347825888544321,-1.000362753868103,1.5112236738204956
0.20942024886608124,0.31845682859420776,0.004347825888544321,4.195140361785889,1.5206592082977295
0.21195650100708008,0.31361785531044006,0.004347825888544321,4.6147637367248535,1.479633092880249
0.0,0.0,0.0014492754125967622,1.5707963705062866,
0.3887321949005127,0.4522230625152588,0.008695651777088642,3.7268810272216797,1.1633280515670776
0.14655794203281403,0.2296789139509201,0.004347825888544321,4.025958061218262,1.5671542882919312
0.0,0.0,0.0014492754125967622,1.5707963705062866,
0.21648545563220978,0.32059240341186523,0.004347825888544321,-1.5489813089370728,1.480895757675171
0.3017885386943817,0.20966200530529022,0.017391303554177284,4.67075777053833,0.6947315335273743
0.08532607555389404,0.13946059346199036,0.004347825888544321,4.156393527984619,1.6344428062438965
0.0,0.0,0.0014492754125967622,1.5707963705062866,
0.14728258550167084,0.2282167673110962,0.004347825888544321,-1.1325684785842896,1.5495163202285767
0.13804346323013306,0.21288925409317017,0.004347825888544321,4.564026355743408,1.5421900749206543
0.0,0.0,0.0014492754125967622,1.5707963705062866,
0.0,0.0,0.0014492754125967622,1.5707963705062866,
